,DATE,GDP
68,1964-01-01,-0.8769285696233019
69,1964-04-01,-0.87574487778398
70,1964-07-01,-0.8739587761235843
71,1964-10-01,-0.8732516633302796
72,1965-01-01,-0.8705142756616443
73,1965-04-01,-0.8688560105803711
74,1965-07-01,-0.8662976743546699
75,1965-10-01,-0.8632844217668615
76,1966-01-01,-0.8600915828550348
77,1966-04-01,-0.8588550715086488
78,1966-07-01,-0.85689513349589
79,1966-10-01,-0.8550679797122824
80,1967-01-01,-0.8536147078065265
81,1967-04-01,-0.8529711121419697
82,1967-07-01,-0.8507981577374306
83,1967-10-01,-0.8486310870248175
84,1968-01-01,-0.8448938728895522
85,1968-04-01,-0.8415566160849931
86,1968-07-01,-0.8393527722978418
87,1968-10-01,-0.8370521150344512
88,1969-01-01,-0.8336680561350251
89,1969-04-01,-0.8315709211241704
90,1969-07-01,-0.8287713535294976
91,1969-10-01,-0.8276760507893388
92,1970-01-01,-0.8259306000913419
93,1970-04-01,-0.8237676747071314
94,1970-07-01,-0.8212692451628599
95,1970-10-01,-0.8209283921919571
96,1971-01-01,-0.8147039810151885
97,1971-04-01,-0.8118804774919981
98,1971-07-01,-0.8090183288104745
99,1971-10-01,-0.8073305115492995
100,1972-01-01,-0.8019399799827897
101,1972-04-01,-0.797158143090093
102,1972-07-01,-0.7939225136915309
103,1972-10-01,-0.7887959459400709
104,1973-01-01,-0.7822990128509053
105,1973-04-01,-0.7774319961455506
106,1973-07-01,-0.7747641430178608
107,1973-10-01,-0.769087583791578
108,1974-01-01,-0.7670924773475334
109,1974-04-01,-0.7618978459781097
110,1974-07-01,-0.7578902494547842
111,1974-10-01,-0.7525878395468955
112,1975-01-01,-0.7503898794516701
113,1975-04-01,-0.7456111181252075
114,1975-07-01,-0.7378597551733354
115,1975-10-01,-0.7309048301558284
116,1976-01-01,-0.7230613339372037
117,1976-04-01,-0.7188030119056621
118,1976-07-01,-0.7142263019087539
119,1976-10-01,-0.7078458391756716
120,1977-01-01,-0.7005747994374057
121,1977-04-01,-0.6915806402864082
122,1977-07-01,-0.6832145652485256
123,1977-10-01,-0.6770905779953145
124,1978-01-01,-0.6719436847626552
125,1978-04-01,-0.6547107522718134
126,1978-07-01,-0.6462302126819133
127,1978-10-01,-0.6352790573641198
128,1979-01-01,-0.628638374983577
129,1979-04-01,-0.6199950978238109
130,1979-07-01,-0.6097898341779264
131,1979-10-01,-0.6022589759530134
132,1980-01-01,-0.5934389205949209
133,1980-04-01,-0.5924346813593461
134,1980-07-01,-0.5845276680119734
135,1980-10-01,-0.5672678577466508
136,1981-01-01,-0.5487276758860382
137,1981-04-01,-0.5436027127778309
138,1981-07-01,-0.5304878297542006
139,1981-10-01,-0.5277854767965802
140,1982-01-01,-0.5286567980827326
141,1982-04-01,-0.5209451500513618
142,1982-07-01,-0.5163518587408436
143,1982-10-01,-0.5115059698383146
144,1983-01-01,-0.5020316211939816
145,1983-04-01,-0.4879328244159761
146,1983-07-01,-0.4731793331909167
147,1983-10-01,-0.4590682341479747
148,1984-01-01,-0.4439113088651618
149,1984-04-01,-0.43033241650099313
150,1984-07-01,-0.42035033198748867
151,1984-10-01,-0.4117519848387949
152,1985-01-01,-0.40083813747662406
153,1985-04-01,-0.3921838952546319
154,1985-07-01,-0.3798968744290633
155,1985-10-01,-0.37223189477228846
156,1986-01-01,-0.3637005414793899
157,1986-04-01,-0.3586932522097053
158,1986-07-01,-0.3503586014355193
159,1986-10-01,-0.343678204134475
160,1987-01-01,-0.3350493687639821
161,1987-04-01,-0.3238163311148184
162,1987-07-01,-0.313333330465966
163,1987-10-01,-0.29682703392800197
164,1988-01-01,-0.2880846700473889
165,1988-04-01,-0.272484328345779
166,1988-07-01,-0.26007522091274315
167,1988-10-01,-0.24447354200842275
168,1989-01-01,-0.2295311040403717
169,1989-04-01,-0.21599727540754632
170,1989-07-01,-0.2049115974970782
171,1989-10-01,-0.19797525959724707
172,1990-01-01,-0.18119817951040967
173,1990-04-01,-0.1695207894005515
174,1990-07-01,-0.16215440710902815
175,1990-10-01,-0.16354282468332537
176,1991-01-01,-0.1594717110312517
177,1991-04-01,-0.14721170170043518
178,1991-07-01,-0.13663777126726973
179,1991-10-01,-0.1288013622230106
180,1992-01-01,-0.11562162486792187
181,1992-04-01,-0.10122516676656206
182,1992-07-01,-0.08840433461896781
183,1992-10-01,-0.07313856103552126
184,1993-01-01,-0.06663226752738236
185,1993-04-01,-0.05600418038444226
186,1993-07-01,-0.046221339074800145
187,1993-10-01,-0.028618402593966988
188,1994-01-01,-0.01499043489032358
189,1994-04-01,0.0025642285726611824
190,1994-07-01,0.013815987059771755
191,1994-10-01,0.030425783087527376
192,1995-01-01,0.039385174968052376
193,1995-04-01,0.04723562464077142
194,1995-07-01,0.060892208482419455
195,1995-10-01,0.07285495765069513
196,1996-01-01,0.08567632467937393
197,1996-04-01,0.10765619307216875
198,1996-07-01,0.12083673274888383
199,1996-10-01,0.13800146790149095
200,1997-01-01,0.15175914426805162
201,1997-04-01,0.1726422389977062
202,1997-07-01,0.19189769058815756
203,1997-10-01,0.2056821110089278
204,1998-01-01,0.21913075982909527
205,1998-04-01,0.23293323248645734
206,1998-07-01,0.25317821408266805
207,1998-10-01,0.27629764662533884
208,1999-01-01,0.2920353190453155
209,1999-04-01,0.3073500342479657
210,1999-07-01,0.3288009052484926
211,1999-10-01,0.3573559330890165
212,2000-01-01,0.37099673793868077
213,2000-04-01,0.4038305470122166
214,2000-07-01,0.41325047150623306
215,2000-10-01,0.42897316725585233
216,2001-01-01,0.43358477824350417
217,2001-04-01,0.450803803826157
218,2001-07-01,0.4506727579605294
219,2001-10-01,0.4590229202861571
220,2002-01-01,0.4754751938346174
221,2002-04-01,0.4893767532128262
222,2002-07-01,0.502291456990697
223,2002-10-01,0.5126404699279586
224,2003-01-01,0.5277102095940476
225,2003-04-01,0.546248786811408
226,2003-07-01,0.5802007647914518
227,2003-10-01,0.6076889723095501
228,2004-01-01,0.6279092156556172
229,2004-04-01,0.6532315559435421
230,2004-07-01,0.6789716383582224
231,2004-10-01,0.7086451025457967
232,2005-01-01,0.7407475954569681
233,2005-04-01,0.7615237139697839
234,2005-07-01,0.7909403015166736
235,2005-10-01,0.8152188213687933
236,2006-01-01,0.8519860122152229
237,2006-04-01,0.8726142361082587
238,2006-07-01,0.8882279498369736
239,2006-10-01,0.9108764195850113
240,2007-01-01,0.9344233558342246
241,2007-04-01,0.9593529596860797
242,2007-07-01,0.981020323805434
243,2007-10-01,1.0012041952377757
244,2008-01-01,1.000064898528442
245,2008-04-01,1.021348218029345
246,2008-07-01,1.02580083561472
247,2008-10-01,0.9869163179965073
248,2009-01-01,0.9632067778976993
249,2009-04-01,0.9565654269158014
250,2009-07-01,0.9656110683711525
251,2009-10-01,0.9926716384624377
252,2010-01-01,1.0078303021087742
253,2010-04-01,1.0366581193022373
254,2010-07-01,1.0582424431332704
255,2010-10-01,1.0806896638733798
256,2011-01-01,1.0863024385303726
257,2011-04-01,1.1138609829110424
258,2011-07-01,1.1259146618636315
259,2011-10-01,1.15193381848399
260,2012-01-01,1.182227611008959
261,2012-04-01,1.200722461697686
262,2012-07-01,1.2157560968905923
263,2012-10-01,1.229245530393429
264,2013-01-01,1.259702996530161
265,2013-04-01,1.2704672109090285
266,2013-07-01,1.3005744636558842
267,2013-10-01,1.332424091534503
268,2014-01-01,1.3331888377646297
269,2014-04-01,1.3760822891088784
270,2014-07-01,1.4142888449528743
271,2014-10-01,1.428710709905733
272,2015-01-01,1.4489626449560384
273,2015-04-01,1.4778803221716463
274,2015-07-01,1.4941730674367457
275,2015-10-01,1.498654167439854
276,2016-01-01,1.5107954331699798
277,2016-04-01,1.5356365142024009
278,2016-07-01,1.5598314588851152
279,2016-10-01,1.58613958501121
280,2017-01-01,1.6116407093015268
281,2017-04-01,1.6328432617587165
282,2017-07-01,1.6668017920320422
283,2017-10-01,1.7128674893663756
284,2018-01-01,1.7518422681675458
285,2018-04-01,1.785587782049091
286,2018-07-01,1.8147144640483475
287,2018-10-01,1.8306454959802603
288,2019-01-01,1.8555530359873924
289,2019-04-01,1.8930805602950047
290,2019-07-01,1.9344679202264334
291,2019-10-01,1.9622961783938078
292,2020-01-01,1.9361034528616279
293,2020-04-01,1.696293530371261
294,2020-07-01,1.9282309393441857
295,2020-10-01,1.9786250281320905
296,2021-01-01,2.0556055149301424
297,2021-04-01,2.1481636109837257
298,2021-07-01,2.219919379351367
299,2021-10-01,2.330322846737195
300,2022-01-01,2.3804028266084067
301,2022-04-01,2.4492897602809722
302,2022-07-01,2.509512823872031
303,2022-10-01,2.564841725542712
304,2023-01-01,2.619024644490507
305,2023-04-01,2.6523759510130014
306,2023-07-01,2.7255364508280078
307,2023-10-01,2.7719200012466243
308,2024-01-01,2.8157133900150297
